sample_number,time_approx,sampling_rate_hz
243,1.215,137.71683740478068
244,1.22,331.3036334913112
245,1.225,138.8704433334437
246,1.23,292.8165316950572
247,1.235,164.15420140111934
248,1.24,331.82784810126583
249,1.245,142.77023623119342
250,1.25,330.2341547909613
251,1.2550000000000001,141.20333961755992
252,1.26,408.841407544595
253,1.2650000000000001,122.99290364201514
254,1.27,497.13215597961363
255,1.2750000000000001,120.58488342006153
256,1.28,922.8391639163916
257,1.285,122.9172112651291
258,1.29,497.13215597961363
259,1.295,119.85780419500486
260,1.3,495.2537489668202
261,1.305,123.71848268538729
262,1.31,489.988785046729
263,1.315,120.32198284517628
264,1.32,495.54631379962194
265,1.325,122.78766942826195
266,1.33,994.1464802085802
267,1.335,119.78249942883254
268,1.34,496.95545023696684
269,1.345,118.29269255718194
270,1.35,990.1567516525024
271,1.355,122.36496776263967
272,1.36,433.83367811336365
273,1.365,140.36222475068604
274,1.37,286.8684768483688
275,1.375,119.99496481089432
276,1.3800000000000001,495.83922449462113
277,1.385,135.44868565523478
278,1.3900000000000001,496.07380248373744
279,1.395,96.87509238728751
280,1.4000000000000001,248.02223404884396
281,1.405,134.43712939517292
282,1.41,324.41054992652175
283,1.415,123.73308159773438
284,1.42,996.5084343074365
285,1.425,95.4378811322472
286,1.43,222.97081494870022
287,1.435,80.9570537937424
288,1.44,329.32663316582915
289,1.445,124.24622311748327
290,1.45,448.3968355783622
291,1.455,123.47809703250118
292,1.46,495.312234293812
293,1.465,98.33319266657288
294,1.47,997.4563614744352
295,1.475,328.707210031348
296,1.48,80.6565901311488
297,1.485,153.68254433533636
298,1.49,296.1660782375371
299,1.495,139.88940399559752
300,1.5,331.5917463831133
301,1.5050000000000001,151.16243197462788
302,1.51,311.35802835721177
303,1.5150000000000001,165.53413844818058
304,1.52,323.13590138674886
305,1.5250000000000001,100.9167989990857
306,1.53,248.97922355455302
307,1.5350000000000001,134.09328942741135
308,1.54,329.01663005961717
309,1.545,132.8698957772357
310,1.55,494.2616073532878
311,1.555,98.56195511690753
312,1.56,223.32697939406847
313,1.565,81.09479708435646
314,1.57,329.37835715407573
315,1.575,124.11753913532388
316,1.58,450.51600429645543
317,1.585,122.8488079198641
318,1.59,495.4877731836976
