sample_number,time_approx,sampling_rate_hz
383,1.915,122.57595417616459
384,1.92,990.8584927947082
385,1.925,123.64553976770237
386,1.93,496.54362495560554
387,1.935,142.08828212337815
388,1.94,333.1456711675933
389,1.945,135.38310577450696
390,1.95,332.9869799936488
391,1.955,142.83830540798257
392,1.96,249.89895138226882
393,1.965,134.05471746356432
394,1.97,333.38399173356646
395,1.975,142.7994007898679
396,1.98,286.613639469728
397,1.985,333.0927573062262
398,1.99,142.85290010558222
399,1.995,307.07255289552677
400,2.0,142.7848170212766
401,2.005,333.03986025091314
402,2.0100000000000002,124.09183431952663
403,2.015,333.2515493405371
404,2.02,142.8188504494688
405,2.025,308.7452337136548
406,2.0300000000000002,142.80426270811344
407,2.035,333.4369981715558
408,2.04,133.9092012004342
409,2.045,111.0750244961733
410,2.05,1000.072484501669
411,2.055,111.08384978017904
412,2.06,500.0362422508345
413,2.065,124.97553708173177
414,2.07,480.9430111225777
415,2.075,124.9792610250298
416,2.08,333.27802940007945
417,2.085,153.9985313555588
418,2.09,249.79477100827825
419,2.095,142.88209845000853
420,2.1,330.15617128463475
421,2.105,318.7403298122958
422,2.11,139.43366244473256
423,2.115,331.98543612474276
424,2.12,140.40451243597897
425,2.125,324.7370703004026
426,2.13,164.97419760855885
427,2.1350000000000002,248.52189370148724
428,2.14,149.35384396253963
429,2.145,331.6441843915553
430,2.15,141.09408954822214
431,2.1550000000000002,303.6270450267844
432,2.16,162.98686562524287
433,2.165,330.57250945775536
434,2.17,139.86607976523942
435,2.1750000000000003,331.513120455264
436,2.18,139.2346301951932
437,2.185,331.7753520012656
438,2.19,139.26699206428262
439,2.195,309.8399940902711
440,2.2,142.83344117146262
441,2.205,250.00321869225726
442,2.21,166.57945112990984
443,2.215,125.00160934612863
444,2.22,234.6332512866413
445,2.225,124.97181336034801
446,2.23,499.5597903763697
447,2.235,105.35011177253661
448,2.24,997.9310016654771
449,2.245,141.40327691996495
450,2.25,303.05664739884395
451,2.255,121.96289619075313
452,2.2600000000000002,497.6039862379879
453,2.265,121.69749020745684
454,2.27,997.2192106514503
455,2.275,141.2937173656729
456,2.2800000000000002,331.9328901551124
457,2.285,127.4322172935529
458,2.29,498.31341333016513
459,2.295,124.96436658324396
460,2.3000000000000003,249.92873316648792
461,2.305,249.94362672069602
462,2.31,124.97181336034801
463,2.315,99.97864225781846
464,2.32,250.06283908662732
465,2.325,291.8791927627001
466,2.33,95.04858593183467
467,2.335,246.86898175397292
468,2.34,142.80426270811344
469,2.345,333.3574948338897
470,2.35,140.12307486720343
471,2.355,250.06283908662732
472,2.36,138.04772405621566
473,2.365,163.8656040006251
474,2.37,223.36265843007774
475,2.375,124.96064352748398
476,2.38,333.2250734885199
477,2.3850000000000002,85.16007471777796
478,2.39,331.5917463831133
479,2.395,123.29660767828797
480,2.4,997.4563614744352
481,2.4050000000000002,139.4197580109028
482,2.41,331.9328901551124
483,2.415,81.9776405284966
484,2.42,497.66302800189845
485,2.4250000000000003,124.96808986085868
486,2.43,489.8171201681654
487,2.435,111.04561700775727
488,2.44,500.4538837847512
489,2.445,99.77648262245165
490,2.45,280.9312793034159
491,2.455,111.0662006143417
492,2.46,499.9766360710454
493,2.465,124.99043418660786
494,2.47,470.52995288310524
495,2.475,124.99788407092832
496,2.48,333.1456711675933
497,2.485,142.85290010558222
498,2.49,333.1721344030503
499,2.495,250.03302533532042
